X	Y	Result
1	1	2
1	2	1
1	3	0
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
2	1	2
2	2	2
2	3	2
2	4	2
2	5	0
2	6	2
2	7	1
2	8	2
2	9	0
2	10	2
2	11	2
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
3	1	1
3	2	0
3	3	1
3	4	2
3	5	2
3	6	1
3	7	2
3	8	1
3	9	1
3	10	1
3	11	2
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
4	6	2
4	7	1
4	8	2
4	9	0
4	10	2
4	11	2
4	12	1
4	13	0
4	14	0
4	15	0
4	16	0
5	1	2
5	2	2
5	3	2
5	4	2
5	5	1
5	6	1
5	7	1
5	8	2
5	9	2
5	10	0
5	11	2
5	12	1
5	13	0
5	14	0
5	15	0
5	16	0
6	1	2
6	2	0
6	3	2
6	4	2
6	5	1
6	6	2
6	7	2
6	8	0
6	9	2
6	10	0
6	11	2
6	12	2
6	13	2
6	14	0
6	15	0
6	16	0
7	1	2
7	2	2
7	3	2
7	4	2
7	5	2
7	6	2
7	7	2
7	8	2
7	9	1
7	10	2
7	11	0
7	12	2
7	13	1
7	14	0
7	15	0
7	16	0
8	1	1
8	2	2
8	3	2
8	4	2
8	5	0
8	6	1
8	7	2
8	8	0
8	9	2
8	10	1
8	11	1
8	12	2
8	13	1
8	14	1
8	15	0
8	16	0
9	1	2
9	2	2
9	3	2
9	4	2
9	5	2
9	6	2
9	7	2
9	8	1
9	9	2
9	10	2
9	11	2
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
10	1	2
10	2	2
10	3	2
10	4	2
10	5	2
10	6	2
10	7	2
10	8	2
10	9	2
10	10	2
10	11	0
10	12	0
10	13	1
10	14	0
10	15	0
10	16	1
11	1	2
11	2	2
11	3	1
11	4	2
11	5	2
11	6	0
11	7	2
11	8	2
11	9	2
11	10	2
11	11	2
11	12	1
11	13	0
11	14	0
11	15	0
11	16	0
12	1	2
12	2	1
12	3	1
12	4	2
12	5	0
12	6	2
12	7	2
12	8	1
12	9	1
12	10	2
12	11	0
12	12	1
12	13	0
12	14	0
12	15	0
12	16	1
13	1	2
13	2	2
13	3	2
13	4	2
13	5	2
13	6	2
13	7	1
13	8	1
13	9	1
13	10	1
13	11	1
13	12	1
13	13	0
13	14	0
13	15	2
13	16	0
14	1	2
14	2	1
14	3	2
14	4	2
14	5	2
14	6	2
14	7	2
14	8	2
14	9	1
14	10	2
14	11	1
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
15	1	1
15	2	1
15	3	2
15	4	1
15	5	2
15	6	0
15	7	2
15	8	2
15	9	1
15	10	1
15	11	0
15	12	0
15	13	0
15	14	2
15	15	2
15	16	2
16	1	1
16	2	1
16	3	0
16	4	0
16	5	0
16	6	1
16	7	0
16	8	1
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	1
16	16	2
